table_name	index_name	index_type	unique	columns	source_file	status	notes
llx_recruitment_recruitmentjobposition_extrafields	uk_recruitmentjobposition_fk_object	INDEX	Y	fk_object	htdocs/install/mysql/tables/llx_recruitment_recruitmentjobposition_extrafields-recruitment.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_recruitment_recruitmentjobposition	idx_recruitment_recruitmentjobposition_fk_project	INDEX	N	fk_project	htdocs/install/mysql/tables/llx_recruitment_recruitmentjobposition-recruitment.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_recruitment_recruitmentjobposition	idx_recruitment_recruitmentjobposition_fk_soc	INDEX	N	fk_soc	htdocs/install/mysql/tables/llx_recruitment_recruitmentjobposition-recruitment.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_recruitment_recruitmentjobposition	idx_recruitment_recruitmentjobposition_ref	INDEX	N	ref	htdocs/install/mysql/tables/llx_recruitment_recruitmentjobposition-recruitment.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_recruitment_recruitmentjobposition	idx_recruitment_recruitmentjobposition_rowid	INDEX	N	rowid	htdocs/install/mysql/tables/llx_recruitment_recruitmentjobposition-recruitment.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_recruitment_recruitmentjobposition	idx_recruitment_recruitmentjobposition_status	INDEX	N	status	htdocs/install/mysql/tables/llx_recruitment_recruitmentjobposition-recruitment.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_recruitment_recruitmentjobposition	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_recruitment_recruitmentjobposition-recruitment.sql	启用	主键在建表文件中定义
llx_resource_extrafields	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_resource_extrafields.sql	启用	主键在建表文件中定义
llx_resource_extrafields	uk_resource_extrafields	INDEX	Y	fk_object	htdocs/install/mysql/tables/llx_resource_extrafields.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_resource	fk_code_type_resource_idx	INDEX	N	fk_code_type_resource	htdocs/install/mysql/tables/llx_resource.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_resource	idx_resource_fk_country	INDEX	N	fk_country	htdocs/install/mysql/tables/llx_resource.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_resource	idx_resource_fk_state	INDEX	N	fk_state	htdocs/install/mysql/tables/llx_resource.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_resource	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_resource.sql	启用	主键在建表文件中定义
llx_resource	uk_resource_ref	INDEX	Y	ref, entity	htdocs/install/mysql/tables/llx_resource.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_salary_extrafields	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_salary_extrafields.sql	启用	主键在建表文件中定义
llx_salary_extrafields	uk_salary_extrafields	INDEX	Y	fk_object	htdocs/install/mysql/tables/llx_salary_extrafields.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_salary	idx_salary_entity	INDEX	N	entity	htdocs/install/mysql/tables/llx_salary.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_salary	idx_salary_fk_account	INDEX	N	fk_account	htdocs/install/mysql/tables/llx_salary.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_salary	idx_salary_fk_bank	INDEX	N	fk_bank	htdocs/install/mysql/tables/llx_salary.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_salary	idx_salary_fk_projet	INDEX	N	fk_projet	htdocs/install/mysql/tables/llx_salary.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_salary	idx_salary_fk_typepayment	INDEX	N	fk_typepayment	htdocs/install/mysql/tables/llx_salary.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_salary	idx_salary_fk_user	INDEX	N	fk_user	htdocs/install/mysql/tables/llx_salary.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_salary	idx_salary_fk_user_author	INDEX	N	fk_user_author	htdocs/install/mysql/tables/llx_salary.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_salary	idx_salary_fk_user_modif	INDEX	N	fk_user_modif	htdocs/install/mysql/tables/llx_salary.key.sql	启用	索引由 .key.sql 安装脚本创建
llx_salary	PRIMARY	PRIMARY KEY	Y	rowid	htdocs/install/mysql/tables/llx_salary.sql	启用	主键在建表文件中定义
llx_salary	uk_salary_ref	INDEX	Y	ref, entity	htdocs/install/mysql/tables/llx_salary.key.sql	启用	索引由 .key.sql 安装脚本创建
